symbol,horizon,mae,rmse,mape,directional_accuracy,status,error
ADROITINFO,3d,5.806576151342777,7.607362526414819,145.36632971144255,50.76923076923077,SUCCESS,
ADROITINFO,5d,7.910107561835626,10.12748218361524,161.8387892317583,50.128534704370175,SUCCESS,
ADROITINFO,1w,9.246631639617636,11.429029156230865,185.39643830042678,47.30077120822622,SUCCESS,
ADROITINFO,1mo,13.227103011414263,16.22522807178599,159.88049012585645,49.73958333333333,SUCCESS,
ADSL,1d,2.800801423574995,3.8459210099252705,181.84910993050937,44.0251572327044,SUCCESS,
ADSL,3d,4.972525749910208,6.952971468602041,199.2628809957284,53.20754716981132,SUCCESS,
ADSL,5d,9.08437151414889,11.693768286004012,454.30738159584314,52.267002518891694,SUCCESS,
ADSL,1w,11.262130188135917,14.092122719168493,491.5243965760216,48.11083123425693,SUCCESS,
ADSL,1mo,16.700229133999617,20.46344806985104,286.7676763618186,43.2192648922687,SUCCESS,
ADVANIHOTR,1d,2.1420303825856077,3.145112822120671,179.10982090064164,55.778894472361806,SUCCESS,
ADVANIHOTR,3d,5.1325846409340485,6.405441782120682,491.23712777435395,53.83647798742138,SUCCESS,
ADVANIHOTR,5d,6.0559093813345735,7.704334777473404,503.44029223338725,55.34591194968554,SUCCESS,
ADVANIHOTR,1w,9.024286926511861,11.10786032418451,604.0412032555663,52.327044025157235,SUCCESS,
ADVANIHOTR,1mo,16.479519161416956,19.214391528359688,760.0566291787145,51.77215189873417,SUCCESS,
ADVENZYMES,1d,1.5389560688781132,2.1011698505040766,248.81251300035,54.700854700854705,SUCCESS,
ADVENZYMES,3d,2.815435682538454,3.65861721653996,288.50163702053476,55.55555555555556,SUCCESS,
ADVENZYMES,5d,3.71131210022318,4.638775616752091,347.37366775576186,58.57142857142858,SUCCESS,
ADVENZYMES,1w,4.795970032827753,5.956608558782935,562.7235103383646,58.57142857142858,SUCCESS,
ADVENZYMES,1mo,10.023858957940288,12.345233873399772,448.090744892598,50.72463768115942,SUCCESS,
AEGISCHEM,1d,2.218695747762694,3.1239770405976017,144.03669487330473,51.56993339676499,SUCCESS,
AEGISCHEM,3d,4.005510994699341,5.360275995029494,268.74542929546277,50.523311132255,SUCCESS,
AEGISCHEM,5d,5.1313940294165485,6.617304282253973,271.16081612148247,50.428163653663184,SUCCESS,
AEGISCHEM,1w,6.089996390549681,7.689674873917202,266.2859449441453,50.761904761904766,SUCCESS,
AEGISCHEM,1mo,12.213269988610987,14.731045918438625,275.620344960446,49.7131931166348,SUCCESS,
AEROFLEX,1d,4.621776061574149,6.091095266175705,237.71057996187284,46.26865671641791,SUCCESS,
